-25,-258,-14,-46,-1,28
-25,-253,-24,-25,48,-3
2,-261,35,-48,-27,-22
-3,-243,-10,-36,57,26
-8,-262,21,-21,100,-65
-18,-222,23,-73,-38,15
-40,-230,-10,7,8,6
-37,-190,28,-32,20,-4
12,-212,38,-88,9,-24
-16,-260,2,-32,96,23
17,-202,40,-7,6,-55
-1,-213,-9,-25,-36,-35
-6,-213,34,-9,33,40
24,-197,64,-13,-32,-66
6,-175,5,16,34,-6
-10,-155,2,-27,1,67
-56,-166,39,2,-20,83
25,-168,47,-11,-48,2
21,-168,45,32,-24,7
-3,-145,30,-18,-71,19
5,-200,30,14,-13,-10
3,-149,59,-49,35,-36
59,-109,81,3,-17,39
8,-163,41,3,17,-12
2,-161,79,-26,16,8
-18,-138,57,15,49,-5
8,-144,41,28,19,2
-6,-171,70,15,-0,28
-21,-114,73,53,-54,27
-1,-183,31,-26,-68,23
24,-170,50,-10,69,7
30,-111,33,-32,41,49
12,-137,59,-27,-21,45
23,-127,47,-30,-5,65
10,-159,28,-6,5,51
-25,-125,54,6,34,-50
3,-78,105,-31,18,79
-30,-86,46,13,51,23
-26,-102,55,36,-28,-60
2,-121,61,27,102,5
-6,-99,91,9,-65,-11
12,-139,57,-35,46,21
8,-102,96,-9,-51,70
-2,-113,74,-4,-6,27
-21,-116,78,20,-27,26
-12,-109,55,90,-89,35
1,-120,92,-9,-30,7
-26,-102,80,-8,50,10
8,-119,91,-7,38,53
3,-134,71,49,18,-22
32,-105,55,26,61,15
34,-96,88,15,-16,-25
-7,-96,43,72,41,-17
8,-84,119,-0,-68,25
-37,-114,99,-58,31,39
27,-77,50,-56,22,-12
9,-100,45,35,8,9
-24,-97,62,50,33,-1
33,-90,87,35,36,-64
7,-117,59,3,10,12
15,-120,63,57,-55,66
16,-134,85,44,-38,-11
4,-100,68,23,-21,18
-24,-146,82,-14,-4,-22
-4,-121,99,-42,-8,46
-24,-95,68,12,-10,-3
12,-106,80,-5,100,-16
16,-110,64,-42,-4,1
-11,-155,76,34,-5,4
16,-113,77,59,2,107
6,-118,55,-49,-25,24
5,-137,87,-45,33,-6
8,-134,43,-22,-66,-48
7,-132,50,21,61,30
41,-145,77,28,12,-55
19,-146,87,-13,-24,-10
6,-136,48,-9,-44,-6
40,-154,52,35,-6,23
11,-218,28,25,33,-8
-11,-203,77,12,40,11
9,-172,21,11,38,-8
-23,-156,43,51,11,26
-9,-179,71,32,-50,-67
-4,-208,27,-9,-47,83
-13,-193,39,28,1,47
47,-177,-3,-3,16,-67
-20,-165,17,-15,3,-7
22,-239,51,43,6,57
-29,-217,9,48,-19,-14
17,-250,39,-62,-7,4
8,-231,12,-12,-28,-71
1,-192,58,42,71,49
11,-223,19,-16,-115,-48
6,-220,34,-22,89,17
11,-213,5,-41,-41,4
-11,-232,7,-13,10,34
-10,-266,-21,-113,-20,4
35,-285,-27,-27,50,-61
-11,-227,-19,-37,-13,-54
-0,-227,-6,-100,19,-10
-19,-281,21,45,92,-23
-23,-244,-1,-27,-5,-11
22,-232,-22,-4,2,-7
27,-256,-22,15,-3,-78
46,-288,-29,1,75,33
6,-271,-17,-1,-11,11
-16,-306,-31,22,-114,41
-28,-282,-34,-39,-43,41
-3,-291,-33,-10,52,44
-13,-318,-58,54,-3,3
-4,-304,-6,11,4,3
7,-302,-59,-58,-9,27
5,-313,-23,34,-68,-19
3,-324,-20,1,77,18
12,-311,-34,41,6,-53
24,-316,-59,-23,-50,12
24,-309,-29,52,-30,19
20,-326,-87,54,-45,-47
6,-332,-17,41,86,55
-22,-318,-33,35,-31,21
-10,-380,-55,-37,57,-17
-16,-372,-9,-46,19,43
25,-355,-51,-49,-4,-30
30,-326,-44,17,7,3
22,-335,-46,28,12,-16
-28,-382,-52,31,69,-27
-30,-362,-93,1,-70,-27
13,-360,-18,14,11,-24
-34,-381,-51,-56,38,2
16,-371,-40,51,12,15
-35,-370,-61,-24,-7,-41
-27,-373,-70,-14,24,-1
-36,-396,-46,-14,-32,9
19,-355,-62,7,46,6
-11,-369,-78,42,-77,50
-8,-380,-73,-60,57,35
13,-401,-57,59,-73,-40
17,-390,-85,-62,17,-15
-32,-405,-45,38,12,-15
15,-415,-124,-35,60,47
